1000,1
1001,1
1002,8
1003,8
1004,8
1005,13
1006,18
1007,14
1008,1
1009,4
1010,6
1011,11
1012,9
1013,11
1014,17
1015,7
1016,15
1017,18
1018,7
1019,16
1020,19
1021,8
1022,13
1023,18
1024,9
1025,11
1026,7
1027,12
1028,16
1029,15
1030,13
1031,21
1032,5
1033,14
1034,12
1035,15
1036,15
1037,5
1038,11
1039,14
1040,19
1041,11
1042,19
1043,12
1044,18
1045,15
1046,23
1047,16
1048,17
1049,7
1050,16
1051,8
1052,11
1053,15
1054,22
1055,18
1056,19
1057,7
1058,9
1059,7
1060,15
1061,20
1062,12
1063,8
1064,7
1065,7
1066,19
1067,20
1068,11
1069,13
1070,20
1071,16
1072,8
1073,18
1074,11
1075,4
1076,4
1077,21
1078,20
1079,14
1080,10
1081,15
1082,13
1083,12
1084,19
1085,3
1086,16
1087,17
1088,19
1089,12
1090,17
1091,12
1092,11
1093,18
1094,6
1095,16
1096,18
1097,16
1098,19
1099,13
1100,4
1101,12
1102,16
1103,14
1104,18
1105,10
1106,12
1107,11
1108,18
1109,17
1110,5
1111,13
1112,13
1113,15
1114,15
1115,15
1116,19
1117,11
1118,19
1119,14
1120,7
1121,18
1122,17
1123,21
1124,10
1125,17
1126,18
1127,22
1128,20
1129,18
1130,21
1131,16
1132,13
1133,16
1134,21
1135,14
1136,17
1137,17
1138,9
1139,15
1140,18
1141,10
1142,18
1143,19
1144,23
1145,5
1146,16
1147,18
1148,11
1149,10
1150,22
1151,18
1152,4
1153,13
1154,16
1155,17
1156,21
1157,5
1158,7
1159,4
1160,16
1161,18
1162,16
1163,21
1164,20
1165,22
1166,8
1167,14
1168,18
1169,16
1170,18
1171,20
1172,24
1173,4
1174,11
1175,15
1176,15
1177,16
1178,16
1179,20
1180,23
1181,6
1182,9
1183,9
1184,15
1185,17
1186,12
1187,21
1188,12
1189,10
1190,23
1191,21
1192,22
1193,6
1194,15
1195,11
1196,22
1197,12
1198,9
1199,17
1200,17
1201,18
1202,14
1203,17
1204,22
1205,7
1206,11
1207,15
1208,15
1209,17
1210,20
1211,21
1212,4
1213,8
1214,16
1215,17
1216,25
1217,17
1218,25
1219,16
1220,19
1221,20
1222,14
1223,0
1224,20
1225,4
1226,17
1227,19
1228,16
1229,12
1230,15
1231,16
1232,22
1233,4
1234,14
1235,7
1236,5
1237,0
1238,13
1239,11
1240,11
1241,11
1242,15
1243,22
1244,7
1245,11
1246,7
1247,3
1248,13
1249,19
1250,25
1251,6
1252,4
1253,12
1254,9
1255,17
1256,14
1257,21
1258,18
1259,5
1260,9
1261,12
1262,10
1263,11
1264,2
1265,18
1266,23
1267,3
1268,6
1269,7
1270,8
1271,1
1272,14
1273,18
1274,0
1275,15
1276,10
1277,12
1278,13
1279,16
1280,17
1281,23
1282,19
1283,10
1284,3
1285,15
1286,11
1287,17
1288,22
1289,18
1290,20
1291,8
1292,5
1293,18
1294,18
1295,24
1296,5
1297,4
1298,17
1299,0
1300,15
1301,13
1302,7
1303,10
1304,13
1305,17
1306,16
1307,17
1308,6
1309,10
1310,18
1311,15
1312,6
1313,12
1314,18
1315,18
